F1	F2	F3	F4	F5	F6	F7	F8	class
M	0.72	0.55	0.205	2.165	1.1055	0.525	NA	B
I	0.585	0.45	0.15	0.8915	0.3975	0.2035	NA	A
M	0.525	0.41	0.13	0.6875	0.3435	0.1495	0.1765	B
I	0.375	0.28	0.09	0.215	0.084	0.06	0.055	A
F	0.4	0.3	0.115	0.3025	0.1335	0.0465	NA	A
F	0.69	0.58	0.195	1.658	0.708	0.3615	0.4715	B
F	0.565	0.445	0.155	0.826	0.341	0.2055	0.2475	B
F	0.635	0.495	0.175	1.2355	0.5205	0.3085	NA	B
I	0.165	0.11	0.02	0.019	0.0065	0.0025	0.005	A
F	0.56	0.45	0.16	1.0235	0.429	0.268	0.3	B
M	0.61	0.475	0.15	1.142	0.62	0.237	0.245	B
I	0.53	0.395	0.13	0.575	0.247	0.115	0.183	B
M	0.575	0.445	0.145	0.847	0.415	0.1945	0.22	B
F	0.505	0.39	0.16	0.644	0.2475	0.2025	0.1635	B
F	0.53	0.42	0.14	0.627	0.2905	0.1165	NA	A
I	0.41	0.3	0.09	0.28	0.141	0.0575	0.075	A
F	0.65	0.525	0.165	1.238	0.647	0.2485	NA	B
M	0.62	0.485	0.165	1.1325	0.5235	0.2505	NA	B
I	0.51	0.375	0.1	0.5785	0.238	0.1225	0.175	A
F	0.525	0.425	0.16	0.8355	0.3545	0.2135	0.245	B
M	0.63	0.53	0.18	1.2795	0.618	0.256	NA	B
F	0.6	0.47	0.17	1.0805	0.4995	0.2245	0.3205	B
F	0.655	0.5	0.18	1.4155	0.508	0.314	0.445	C
F	0.605	0.455	0.145	0.9775	0.468	0.1775	0.275	B
I	0.55	0.415	0.15	0.7915	0.3535	0.176	0.236	B
F	0.37	0.29	0.115	0.25	0.111	0.057	0.075	B
F	0.29	0.21	0.075	0.275	0.113	0.0675	0.035	A
I	0.52	0.415	0.14	0.6375	0.308	0.1335	NA	B
M	0.37	0.285	0.1	0.228	0.0675	0.0675	0.081	B
F	0.64	0.48	0.145	1.1145	0.508	0.24	0.34	B
I	0.52	0.395	0.125	0.5805	0.2445	0.146	0.165	B
I	0.45	0.35	0.14	0.474	0.21	0.109	NA	C
I	0.225	0.17	0.07	0.0565	0.024	0.013	0.016	A
F	0.65	0.505	0.165	1.357	0.5725	0.281	0.43	C
I	0.54	0.4	0.145	0.757	0.315	0.181	0.215	C
I	0.24	0.17	0.05	0.0545	0.0205	0.016	0.0155	A
I	0.33	0.26	0.085	0.1965	0.0915	0.0425	0.055	A
I	0.24	0.175	0.055	0.0705	0.025	0.014	0.021	A
F	0.64	0.5	0.165	1.1635	0.554	0.239	0.32	C
M	0.555	0.43	0.165	0.7575	0.2735	0.1635	0.275	C
M	0.39	0.3	0.09	0.3055	0.143	0.0645	0.085	B
M	0.625	0.48	0.16	1.2415	0.6575	0.2625	NA	B
F	0.6	0.475	0.17	1.088	0.4905	0.2475	0.31	B
M	0.615	0.455	0.13	0.9685	0.49	0.182	NA	B
M	0.69	0.53	0.19	1.5955	0.678	0.331	NA	B
M	0.465	0.405	0.135	0.7775	0.436	0.1715	0.1455	B
M	0.67	0.52	0.19	1.6385	0.8115	0.369	0.391	B
F	0.57	0.465	0.18	0.9995	0.405	0.277	0.295	C
I	0.465	0.355	0.12	0.4975	0.2375	0.099	0.14	A
I	0.515	0.39	0.11	0.531	0.2415	0.098	NA	A
M	0.375	0.29	0.1	0.276	0.1175	0.0565	0.085	B
M	0.56	0.43	0.155	0.8675	0.4	0.172	0.229	A
F	0.6	0.485	0.165	1.1405	0.587	0.2175	NA	B
F	0.525	0.4	0.135	0.714	0.318	0.138	0.208	B
F	0.61	0.49	0.17	1.3475	0.7045	0.25	NA	C
F	0.585	0.455	0.13	0.8755	0.411	0.2065	0.225	A
M	0.555	0.46	0.16	0.86	0.3345	0.1935	0.275	B
M	0.745	0.585	0.215	2.499	0.9265	0.472	NA	C
M	0.275	0.2	0.08	0.099	0.037	0.024	0.03	A
F	0.665	0.505	0.165	1.349	0.5985	0.3175	0.36	B
I	0.455	0.325	0.135	0.82	0.4005	0.1715	0.211	A
F	0.64	0.475	0.19	1.151	0.4365	0.281	NA	C
I	0.535	0.4	0.135	0.6025	0.2895	0.121	0.154	B
M	0.625	0.47	0.18	1.136	0.451	0.3245	0.305	C
I	0.48	0.36	0.125	0.542	0.2795	0.1025	NA	A
I	0.37	0.285	0.095	0.226	0.1135	0.0515	NA	A
F	0.59	0.455	0.155	1.066	0.382	0.2275	0.415	C
M	0.575	0.455	0.135	0.907	0.4245	0.197	0.26	B
F	0.55	0.44	0.15	0.8945	0.3145	0.151	0.32	C
M	0.56	0.445	0.16	0.8965	0.42	0.2175	NA	A
M	0.625	0.505	0.175	1.131	0.5425	0.2265	0.323	A
M	0.635	0.48	0.235	1.064	0.413	0.228	0.36	C
M	0.555	0.445	0.135	0.836	0.336	0.1625	0.275	C
M	0.59	0.46	0.13	1.102	0.455	0.2055	0.33	C
I	0.39	0.31	0.1	0.302	0.116	0.064	0.115	C
M	0.62	0.475	0.195	1.3585	0.5935	0.3365	NA	B
M	0.55	0.385	0.13	0.7275	0.343	0.1625	0.19	A
I	0.275	0.215	0.075	0.1155	0.0485	0.029	0.035	A
I	0.255	0.185	0.06	0.088	0.0365	0.021	NA	A
I	0.39	0.295	0.095	0.203	0.0875	0.045	0.075	A
I	0.245	0.205	0.06	0.0765	0.034	0.014	0.0215	A
M	0.62	0.525	0.155	1.085	0.454	0.1965	0.35	B
I	0.41	0.33	0.105	0.335	0.1525	0.074	0.11	A
I	0.595	0.475	0.155	0.984	0.4865	0.184	NA	B
F	0.505	0.39	0.13	0.674	0.3165	0.141	0.1785	B
M	0.625	0.47	0.175	1.179	0.605	0.258	NA	B
I	0.43	0.34	0.1	0.3405	0.1395	0.0665	0.12	A
M	0.615	0.495	0.2	1.304	0.5795	0.3115	0.371	C
F	0.56	0.455	0.19	0.714	0.283	0.129	0.275	B
I	0.34	0.26	0.085	0.1885	0.0815	0.0335	NA	A
M	0.71	0.57	0.195	1.348	0.8985	0.4435	NA	C
M	0.51	0.39	0.135	0.769	0.3935	0.1455	0.19	A
M	0.66	0.505	0.2	1.6305	0.4865	0.297	NA	C
F	0.7	0.54	0.215	1.978	0.6675	0.3125	NA	C
F	0.44	0.34	0.1	0.451	0.188	0.087	0.13	B
M	0.415	0.305	0.1	0.325	0.156	0.0505	0.091	A
M	0.625	0.48	0.175	1.065	0.4865	0.259	NA	B
M	0.61	0.475	0.17	1.0265	0.435	0.2335	NA	B
F	0.665	0.515	0.185	1.3405	0.5595	0.293	NA	C
F	0.605	0.485	0.16	1.201	0.417	0.2875	0.38	B
I	0.495	0.385	0.125	0.585	0.2755	0.1235	0.165	A
M	0.6	0.495	0.165	1.2415	0.485	0.2775	0.34	C
M	0.455	0.365	0.095	0.514	0.2245	0.101	0.15	C
M	0.52	0.395	0.125	0.8115	0.4035	0.166	0.2	A
I	0.325	0.25	0.07	0.1745	0.0875	0.0355	0.04	A
F	0.56	0.445	0.18	0.903	0.3575	0.2045	0.295	B
F	0.565	0.45	0.195	1.0035	0.406	0.2505	0.285	C
