"F1","F2","F3","F4","F5","F6","F7","F8","class"
"M",NA,0.55,0.205,2.165,NA,0.525,NA,"B"
"I",0.585,NA,0.15,0.8915,0.3975,0.2035,NA,"A"
"M",NA,0.41,0.13,0.6875,0.3435,0.1495,0.1765,"B"
"I",0.375,0.28,0.09,0.215,NA,0.06,NA,"A"
"F",0.4,NA,0.115,0.3025,NA,0.0465,0.0935,"A"
"F",NA,NA,0.195,1.658,NA,0.3615,0.4715,"B"
"F",0.565,NA,0.155,0.826,0.341,0.2055,0.2475,"B"
"F",NA,0.495,0.175,1.2355,0.5205,0.3085,NA,"B"
"I",NA,NA,0.02,0.019,0.0065,0.0025,0.005,"A"
"F",NA,0.45,0.16,1.0235,NA,0.268,0.3,"B"
"M",NA,NA,0.15,1.142,0.62,0.237,NA,"B"
"I",NA,NA,0.13,0.575,NA,0.115,0.183,"B"
"M",0.575,0.445,0.145,0.847,NA,0.1945,0.22,"B"
"F",0.505,0.39,0.16,0.644,NA,0.2025,NA,"B"
"F",0.53,NA,0.14,0.627,NA,0.1165,NA,"A"
"I",0.41,0.3,0.09,0.28,NA,0.0575,NA,"A"
"F",NA,NA,0.165,1.238,0.647,0.2485,NA,"B"
"M",NA,NA,0.165,1.1325,NA,0.2505,0.2825,"B"
"I",0.51,0.375,0.1,0.5785,NA,0.1225,NA,"A"
"F",NA,NA,0.16,0.8355,0.3545,0.2135,0.245,"B"
"M",NA,0.53,0.18,1.2795,NA,0.256,NA,"B"
"F",NA,NA,0.17,1.0805,0.4995,0.2245,0.3205,"B"
"F",0.655,NA,0.18,1.4155,NA,0.314,0.445,"C"
"F",NA,0.455,0.145,0.9775,0.468,0.1775,0.275,"B"
"I",0.55,NA,0.15,0.7915,NA,0.176,NA,"B"
"F",0.37,NA,0.115,0.25,NA,0.057,0.075,"B"
"F",NA,NA,0.075,0.275,NA,0.0675,0.035,"A"
"I",0.52,NA,0.14,0.6375,0.308,0.1335,NA,"B"
"M",0.37,0.285,0.1,0.228,NA,0.0675,NA,"B"
"F",0.64,0.48,0.145,1.1145,0.508,0.24,0.34,"B"
"I",NA,NA,0.125,0.5805,NA,0.146,NA,"B"
"I",0.45,NA,0.14,0.474,NA,0.109,NA,"C"
"I",NA,0.17,0.07,0.0565,NA,0.013,0.016,"A"
"F",NA,0.505,0.165,1.357,0.5725,0.281,NA,"C"
"I",NA,NA,0.145,0.757,0.315,0.181,NA,"C"
"I",0.24,0.17,0.05,0.0545,NA,0.016,NA,"A"
"I",0.33,NA,0.085,0.1965,0.0915,0.0425,0.055,"A"
"I",NA,NA,0.055,0.0705,0.025,0.014,0.021,"A"
"F",NA,0.5,0.165,1.1635,NA,0.239,0.32,"C"
"M",0.555,0.43,0.165,0.7575,NA,0.1635,NA,"C"
"M",0.39,0.3,0.09,0.3055,0.143,0.0645,NA,"B"
"M",0.625,0.48,0.16,1.2415,NA,0.2625,NA,"B"
"F",0.6,0.475,0.17,1.088,0.4905,0.2475,NA,"B"
"M",0.615,0.455,0.13,0.9685,0.49,0.182,NA,"B"
"M",0.69,0.53,0.19,1.5955,0.678,0.331,NA,"B"
"M",0.465,0.405,0.135,0.7775,NA,0.1715,NA,"B"
"M",NA,0.52,0.19,1.6385,NA,0.369,NA,"B"
"F",0.57,NA,0.18,0.9995,NA,0.277,NA,"C"
"I",0.465,0.355,0.12,0.4975,NA,0.099,NA,"A"
"I",NA,NA,0.11,0.531,NA,0.098,NA,"A"
"M",NA,NA,0.1,0.276,0.1175,0.0565,NA,"B"
"M",NA,0.43,0.155,0.8675,0.4,0.172,NA,"A"
"F",0.6,0.485,0.165,1.1405,0.587,0.2175,NA,"B"
"F",NA,0.4,0.135,0.714,0.318,0.138,NA,"B"
"F",NA,0.49,0.17,1.3475,NA,0.25,NA,"C"
"F",NA,NA,0.13,0.8755,0.411,0.2065,NA,"A"
"M",NA,NA,0.16,0.86,0.3345,0.1935,0.275,"B"
"M",NA,0.585,0.215,2.499,NA,0.472,NA,"C"
"M",NA,NA,0.08,0.099,NA,0.024,0.03,"A"
"F",NA,NA,0.165,1.349,NA,0.3175,NA,"B"
"I",NA,0.325,0.135,0.82,0.4005,0.1715,0.211,"A"
"F",0.64,NA,0.19,1.151,0.4365,0.281,NA,"C"
"I",NA,NA,0.135,0.6025,NA,0.121,0.154,"B"
"M",0.625,NA,0.18,1.136,NA,0.3245,0.305,"C"
"I",0.48,0.36,0.125,0.542,NA,0.1025,0.147,"A"
"I",0.37,NA,0.095,0.226,NA,0.0515,NA,"A"
"F",0.59,0.455,0.155,1.066,NA,0.2275,0.415,"C"
"M",NA,0.455,0.135,0.907,NA,0.197,NA,"B"
"F",0.55,0.44,0.15,0.8945,NA,0.151,0.32,"C"
"M",0.56,0.445,0.16,0.8965,NA,0.2175,NA,"A"
"M",NA,NA,0.175,1.131,NA,0.2265,NA,"A"
"M",0.635,0.48,0.235,1.064,NA,0.228,0.36,"C"
"M",0.555,0.445,0.135,0.836,0.336,0.1625,NA,"C"
"M",0.59,0.46,0.13,1.102,0.455,0.2055,NA,"C"
"I",0.39,NA,0.1,0.302,NA,0.064,0.115,"C"
"M",0.62,NA,0.195,1.3585,NA,0.3365,NA,"B"
"M",0.55,NA,0.13,0.7275,NA,0.1625,NA,"A"
"I",0.275,0.215,0.075,0.1155,NA,0.029,NA,"A"
"I",NA,0.185,0.06,0.088,NA,0.021,NA,"A"
"I",NA,NA,0.095,0.203,NA,0.045,0.075,"A"
"I",NA,NA,0.06,0.0765,NA,0.014,NA,"A"
"M",0.62,NA,0.155,1.085,NA,0.1965,NA,"B"
"I",NA,0.33,0.105,0.335,NA,0.074,NA,"A"
"I",NA,NA,0.155,0.984,0.4865,0.184,NA,"B"
"F",0.505,NA,0.13,0.674,0.3165,0.141,NA,"B"
"M",NA,NA,0.175,1.179,0.605,0.258,NA,"B"
"I",0.43,0.34,0.1,0.3405,0.1395,0.0665,NA,"A"
"M",NA,NA,0.2,1.304,NA,0.3115,0.371,"C"
"F",NA,NA,0.19,0.714,NA,0.129,0.275,"B"
"I",0.34,0.26,0.085,0.1885,NA,0.0335,0.06,"A"
"M",NA,NA,0.195,1.348,NA,0.4435,NA,"C"
"M",NA,0.39,0.135,0.769,NA,0.1455,0.19,"A"
"M",NA,0.505,0.2,1.6305,NA,0.297,NA,"C"
"F",0.7,NA,0.215,1.978,NA,0.3125,NA,"C"
