"bkblk","bknwy","bkon8","bkona","bkspr","bkxbq","bkxcr","bkxwp","blxwp","bxqsq","cntxt","dsopp","dwipd","hdchk","katri","mulch","qxmsq","r2ar8","reskd","reskr","rimmx","rkxwp","rxmsq","simpl","skach","skewr","spcop","skrxp","stlmt","thrsk","wkcti","wkna8","wknck","wkovl","wkpos","wtoeg","class"
"f","f","f","f",NA,NA,"f","f","f","t","t","f",NA,"f","n","f",NA,"t","f","f","f","f","f","t","f","t","f","f","f",NA,"t","f","t","t","f","n","nowin"
"t",NA,"f","f",NA,"f",NA,"f","f",NA,"f","f","l","f","n","f",NA,"t","f","f","f","f","f","f","f","t","f","f","f","f","f",NA,NA,"f","f","n","nowin"
"f",NA,"f","f",NA,NA,"t","f","t","f","t","t","l","f","w","f",NA,"f","f","f","f","t","f","f","f","t","f","f","f",NA,"f",NA,"f","t",NA,"n","won"
"f",NA,"f","f",NA,NA,NA,"f","f","f","t","f",NA,"f","n","f","f","t","f","f","f","f","f","t","f","t","f",NA,"f",NA,"t","f","f","t",NA,"n","won"
"f",NA,"f","f","f","f","t","f","t","f","f","f",NA,NA,"n","f","f","t","f","f","f","t","f","t","f","f","f",NA,"f","f","f","f","f","t",NA,"n","won"
"f",NA,"f","f","f","t","f","f",NA,NA,"t","f",NA,"f","w","f","f","f","f","t","f","f","f","t","f","t","f",NA,"f","f","t","f",NA,"f","f","n","won"
"f",NA,"f","f","t","f",NA,"f",NA,"t","t","f","l","f","w","f",NA,"t","f","t","t","f","f","f","f","t",NA,"f","f","f","t","f","t","t",NA,NA,"won"
"f","f","f","f","f","t","f","f",NA,NA,"f","f","l","f","n","f","f","t","f","f","f","t","f","t","f","f","f","f","f",NA,"f","f","t","t",NA,NA,"nowin"
"t","f","f","f",NA,NA,"t","t","t","f","t","f","g",NA,"n",NA,"f","t","f","f","f","f","f","f","f","t","f","f","f",NA,"f",NA,"f","f","t","n","won"
"f",NA,"f","f","t",NA,NA,"f",NA,NA,"t","f",NA,NA,"n","f","f","t","f","f","f","f","f","f","f","t","f",NA,"f","f","f","f","f","t","f","n","nowin"
"f","f","f","f",NA,"t","t","f","f",NA,"t","f","g","f","n",NA,NA,"t","f","f","t","f","f","f","f","t","f","f","f","f","f",NA,"t","t","t","n","won"
"f","f","f","f","t",NA,"t","t","t","f","t","f",NA,"f","b","f","f","t","f","f","f","f","f","t","f","t","f","f","f",NA,"f",NA,"f","t","t","n","nowin"
"f",NA,"f","f","f",NA,"f","f","f","f","f","f","l","f","n","f","f","f","f","f","f","f","f","f","f","t","f","f","f","f","t","t","f","f",NA,"n","won"
"t","f","f","f","f",NA,"t","t","t","t","t","f",NA,"f","n","t","f","t","f","f","f","f","f","f","f","t",NA,"f","f","f","f","f",NA,"f","f","n","nowin"
"f",NA,"f","t",NA,"t","f","f","f","f","f","f","l",NA,"n",NA,"f","f","f","f","t","f","f","f","f","t",NA,"f","f","f","f",NA,"f","f","t","n","won"
