mcg,gvh,lip,chg,aac,alm1,alm2,class
0.07,0.4,0.48,0.5,0.54,NA,NA,cp
0.23,0.32,0.48,0.5,NA,0.25,0.35,cp
0.21,0.34,0.48,0.5,NA,0.28,NA,cp
0.42,NA,0.48,0.5,0.57,0.27,0.37,cp
0.51,NA,0.48,0.5,0.46,0.32,NA,cp
0.34,0.45,0.48,0.5,0.38,0.24,NA,cp
0.41,0.57,0.48,0.5,NA,NA,0.32,cp
0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp
0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp
0.43,0.37,0.48,0.5,0.53,NA,0.44,cp
0.34,NA,0.48,0.5,0.38,0.35,0.44,cp
0.24,NA,0.48,0.5,0.31,NA,NA,cp
0.65,0.47,0.48,0.5,NA,NA,0.4,cp
0.33,NA,0.48,0.5,NA,NA,0.41,cp
0.28,0.38,0.48,0.5,NA,0.33,NA,cp
0.44,0.35,0.48,0.5,0.55,0.55,NA,cp
0.23,0.33,0.48,0.5,0.43,0.33,0.43,cp
0.22,0.36,0.48,0.5,NA,0.39,0.47,cp
0.54,NA,0.48,0.5,NA,0.33,0.42,cp
0.44,NA,0.48,0.5,0.3,NA,0.43,cp
0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp
0.47,NA,0.48,0.5,0.51,NA,0.43,cp
0.52,NA,0.48,0.5,NA,NA,0.54,cp
0.26,0.26,0.48,0.5,NA,NA,0.35,cp
0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
0.48,0.42,0.48,0.5,NA,0.25,0.35,cp
0.29,NA,0.48,0.5,NA,NA,NA,cp
0.29,NA,0.48,0.5,0.41,0.23,0.34,cp
0.4,NA,0.48,0.5,0.52,NA,0.56,cp
0.5,NA,0.48,0.5,NA,0.23,0.34,cp
0.4,NA,0.48,0.5,NA,0.27,0.27,cp
0.31,0.47,0.48,0.5,NA,NA,0.39,cp
0.57,NA,0.48,0.5,NA,0.28,0.33,cp
0.38,NA,0.48,0.5,0.63,NA,0.35,cp
0.33,NA,0.48,0.5,0.53,NA,NA,cp
0.44,0.49,0.48,0.5,0.39,0.38,0.4,cp
0.47,0.28,0.48,0.5,NA,0.2,NA,cp
