"landmass","zone","area","population","language","bar","stripes","color","red","grean","blue","gold","white","black","orange","mainhue","circle","cross","saltire","quarter","sunstars","crescents","triangle","icon","animate","text","topleft","topright","religions"
6,2,18,1,1,0,0,7,1,1,1,1,1,0,1,"blue",0,2,1,1,0,0,0,1,1,NA,"white","blue",1
4,4,10,1,1,0,5,4,1,1,1,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","green",5
4,1,22,0,3,0,0,4,1,1,1,0,1,0,0,"blue",0,0,0,0,1,0,1,0,0,0,"white","green",2
1,4,0,0,1,0,0,5,1,1,0,1,1,1,0,"green",0,0,0,0,2,0,1,0,0,0,"green","red",1
3,1,0,0,3,0,2,2,1,0,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","white",0
2,4,63,0,6,0,5,4,1,1,0,1,1,0,0,"red",0,0,0,0,1,0,0,0,0,0,"green","green",1
1,4,1973,77,2,3,0,4,1,1,0,0,1,0,1,"green",0,0,0,0,0,0,0,0,1,0,"green","red",0
6,1,300,48,10,0,0,4,1,0,1,1,1,0,0,"blue",0,0,0,0,4,0,1,0,0,0,"blue","red",0
3,1,128,15,5,0,0,3,1,0,1,0,1,0,0,"white",0,0,0,0,0,0,1,0,0,0,"white","red",6
2,3,1285,14,2,3,0,2,1,0,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","red",0
3,1,132,10,6,0,9,2,0,0,1,0,1,0,0,"blue",0,1,0,1,0,0,0,0,0,0,"blue","blue",1
6,1,0,0,10,0,0,3,0,0,1,0,1,0,0,"blue",0,0,0,0,1,0,0,1,0,0,"blue","blue",1
5,1,99,39,10,0,0,4,1,0,1,0,1,1,0,"white",1,0,0,0,0,0,0,1,0,0,"white","white",7
1,4,0,0,1,0,1,3,0,0,1,0,1,0,1,"white",0,0,0,0,0,0,0,0,1,NA,"white","blue",1
5,1,6,0,10,0,0,4,1,0,0,1,1,1,0,"gold",0,0,0,0,0,0,1,1,1,1,"white","gold",2
5,1,9561,1008,7,0,0,2,1,0,0,1,0,0,0,"red",0,0,0,0,5,0,0,0,0,0,"red","red",6
