"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","class"
NA,NA,34998.02254,34998.02229,34998.02197,NA,34998.02111,34998.02053,34998.01981,34998.01893,34998.01785,34998.01652,NA,34998.0129,34998.01044,34998.00743,NA,34997.99918,34997.9936,NA,34997.97832,34997.96799,34997.95529,NA,34997.92057,34997.89707,NA,34997.83277,34997.78925,NA,34997.6702,34997.58963,34997.49069,34997.3692,34997.22002,34997.03682,34996.81187,NA,34996.19644,34995.77993,34995.26846,NA,NA,34992.92219,NA,34990.33134,34988.57786,34986.42469,NA,34980.534,34976.54722,34971.65166,34965.64014,34958.2583,34949.19376,NA,34924.39488,NA,34887.00158,NA,NA,34792.45733,NA,34688.05789,34617.40103,34530.63789,34424.09706,34293.27018,34132.62124,33935.35229,33693.11579,33395.66133,33030.40198,32581.88156,32031.12067,31354.81354,NA,29504.56367,28252.32651,26714.64123,24826.43976,22507.82175,NA,22507.82175,24826.43976,26714.64123,NA,29504.56367,30524.34184,31354.81354,32031.12067,NA,33030.40198,33395.66133,33693.11579,NA,34132.62124,34293.27018,34424.09706,34530.63789,0
199.3037702,199.2052128,199.0891141,198.9523522,198.7912493,NA,NA,198.1145812,197.8043719,NA,197.0084937,196.501423,195.9041038,195.2004738,194.3716118,193.3952289,192.2450694,190.8902045,189.2942008,NA,185.1994669,182.5906259,179.5174634,175.8973395,NA,166.6094887,NA,NA,NA,135.8372343,NA,135.8372343,145.5100049,153.721325,160.6920038,166.6094887,171.632906,175.8973395,179.5174634,182.5906259,NA,187.4141404,NA,190.8902045,NA,193.3952289,194.3716118,195.2004738,NA,196.501423,197.0084937,197.4389515,197.8043719,NA,198.3779212,NA,198.7912493,198.9523522,199.0891141,199.2052128,NA,199.3874367,NA,199.5187563,199.5699408,199.6133918,199.6502778,199.6815908,NA,199.7307384,199.7498946,199.7661565,199.7799615,NA,199.8016292,199.8100746,NA,199.8233302,199.8284968,199.8328828,NA,NA,NA,199.8447279,NA,199.8483031,NA,NA,199.8518837,199.8527362,199.8534599,NA,199.8545958,199.8550385,199.8554144,NA,199.8560043,199.8562342,199.8564294,199.8565951,0
24.33940905,NA,24.25750755,24.20004209,24.12769541,NA,23.92194593,23.77758364,23.59583738,23.36702623,23.07896228,22.71630146,22.25972623,21.68491656,20.96125453,20.05019343,NA,17.45919205,15.64123902,NA,NA,17.45919205,18.90320451,20.05019343,NA,21.68491656,22.25972623,NA,23.07896228,23.36702623,NA,23.77758364,23.92194593,NA,24.12769541,24.20004209,24.25750755,NA,24.33940905,24.36820767,24.39108261,NA,24.42368467,24.43514837,24.44425407,24.45148678,24.45723178,24.46179507,NA,24.46829881,NA,24.47240216,24.47384501,NA,24.47590139,24.47662447,24.47719881,24.47765502,24.47801739,24.47830522,NA,24.47871544,24.47885969,NA,24.47906527,NA,24.47919498,24.47924059,NA,24.47930559,24.47932845,24.4793466,24.47936102,NA,24.47938157,24.4793888,NA,24.4793991,24.47940272,24.4794056,NA,24.4794097,NA,24.47941229,24.4794132,NA,NA,24.47941495,24.47941531,24.4794156,24.47941583,NA,24.47941615,24.47941627,24.47941636,NA,24.47941649,24.47941653,24.47941657,24.4794166,0
NA,NA,6.006171234,6.006171536,6.006171914,6.006172383,NA,6.006173694,6.006174598,6.006175724,6.006177125,6.006178869,6.00618104,6.006183741,6.006187103,NA,6.006196494,6.006202975,NA,NA,NA,6.006249122,6.006268474,NA,6.006322534,6.00635984,6.00640627,6.006464055,NA,6.006625479,NA,6.006875515,6.007048062,NA,6.007530075,6.007862705,6.008276686,NA,6.009433148,6.010231208,NA,6.012460598,NA,6.015913806,6.01829682,6.021262641,6.024953803,6.029547703,6.035265118,6.042380824,NA,6.062258648,6.07597608,NA,6.114295917,6.140739947,6.173651312,NA,6.265589669,NA,NA,6.506270996,6.628579182,NA,6.970248804,NA,6.628579182,6.506270996,6.407997307,6.329035153,6.265589669,6.21461171,6.173651312,NA,6.114295917,6.093048343,6.07597608,6.062258648,6.051236797,6.042380824,6.035265118,6.029547703,NA,6.021262641,NA,6.015913806,NA,NA,6.011224446,6.010231208,6.009433148,NA,6.008276686,6.007862705,6.007530075,NA,6.007048062,6.006875515,6.006736875,6.006625479,1
NA,7811.452633,7801.085551,7788.08576,7771.784685,7751.343969,7725.712355,7693.571618,7653.268773,7602.731064,7539.359354,7459.894465,NA,7235.299908,7078.619435,6882.150117,6635.787617,6326.861615,NA,NA,NA,6882.150117,7078.619435,NA,NA,7459.894465,NA,NA,7653.268773,NA,7725.712355,7751.343969,7771.784685,7788.08576,7801.085551,7811.452633,NA,7826.313388,7831.571343,7835.764461,7839.108391,7841.775111,NA,7845.597736,7846.950237,7848.028831,7848.888988,7849.574947,NA,7850.558239,NA,7851.183589,7851.404847,NA,7851.72201,7851.834227,7851.923718,NA,7852.052,7852.097388,NA,NA,NA,NA,7852.218467,7852.230142,7852.239452,7852.246878,7852.252799,7852.257521,7852.261287,7852.26429,7852.266685,NA,7852.270118,7852.271333,NA,7852.273074,7852.27369,7852.274181,7852.274573,NA,NA,7852.275334,7852.275492,NA,7852.275719,NA,7852.275864,NA,NA,NA,7852.276014,7852.276035,7852.276051,7852.276064,7852.276075,7852.276083,7852.27609,7852.276095,0
70.99350585,NA,71.0132994,71.02755955,71.04584515,NA,NA,71.13791247,71.18734929,NA,71.33202848,71.43626175,71.56991874,71.74130538,71.96107227,NA,72.6042305,73.06759007,NA,74.42363385,75.40058762,76.65332288,78.25968922,80.31951215,82.96079664,86.34768182,NA,86.34768182,NA,80.31951215,NA,76.65332288,75.40058762,NA,73.66175009,73.06759007,NA,72.24287652,71.96107227,71.74130538,71.56991874,NA,71.33202848,71.25074148,NA,71.13791247,71.09935884,71.06929255,71.04584515,71.02755955,NA,71.00217853,70.99350585,70.9867424,70.98146788,NA,70.97414668,70.97164502,70.96969409,70.96817265,NA,70.96606083,70.96533922,NA,70.96433761,70.96399536,70.96372845,70.9635203,NA,70.96323139,70.96313266,70.96305567,70.96299563,NA,70.96291229,70.96288382,70.96286161,70.96284429,70.96283078,70.96282025,70.96281204,70.96280563,70.96280064,70.96279674,70.9627937,70.96279133,70.96278948,NA,70.96278692,NA,70.96278536,70.96278483,70.96278441,70.96278409,70.96278383,70.96278364,70.96278348,70.96278336,70.96278327,70.9627832,1
2251.719703,NA,2252.122161,2252.395009,2252.730451,NA,NA,2254.273154,2255.039453,NA,2257.139761,2258.563677,2260.314249,2262.466412,2265.112294,NA,2272.364248,2277.280753,2283.325135,NA,NA,2311.123352,2324.93143,NA,NA,2388.435025,2419.978868,2458.759058,2506.435658,2565.049558,2637.10984,2725.701185,2834.615921,2725.701185,2637.10984,2565.049558,NA,NA,2419.978868,2388.435025,NA,2341.907164,NA,2311.123352,2299.891849,2290.756134,2283.325135,2277.280753,NA,2268.365157,2265.112294,2262.466412,2260.314249,NA,2257.139761,NA,2255.039453,2254.273154,2253.649845,NA,2252.730451,NA,2252.122161,NA,2251.719703,NA,2251.453429,2251.356278,2251.277256,2251.212979,2251.160696,2251.118169,2251.083578,NA,2251.032555,2251.013939,NA,2250.98648,2250.976462,2250.968313,2250.961685,2250.956293,2250.951908,2250.94834,NA,NA,NA,2250.939598,2250.938328,2250.937294,2250.936454,NA,2250.935215,2250.934762,2250.934395,NA,2250.933852,2250.933654,2250.933493,2250.933362,1
NA,NA,399.9217886,399.9217891,399.9217897,399.9217905,NA,399.9217927,399.9217943,NA,399.9217988,399.921802,NA,399.921811,399.9218173,NA,NA,399.9218479,NA,399.9218838,NA,399.9219408,399.9219808,NA,399.9220947,399.9221746,399.9222753,NA,399.9225618,399.922763,399.9230163,399.9233354,399.9237373,399.9242435,399.9248811,399.9256841,NA,399.9279693,399.9295737,399.9315944,399.9341394,399.9373449,399.9413822,399.9464672,NA,399.9609381,399.9710978,399.9838938,400.0000104,400.0203091,400.0458752,400.0780757,400.118632,400.1697125,400.2340482,NA,400.4171363,NA,400.7075743,NA,NA,NA,401.8991744,402.4122979,403.0585746,403.8725574,404.8977652,406.1890098,NA,409.863666,412.4435402,415.6928805,419.7854104,NA,431.4320336,439.6088049,449.9074125,462.8784638,479.2154462,499.791804,479.2154462,462.8784638,449.9074125,439.6088049,NA,NA,419.7854104,NA,412.4435402,NA,NA,NA,404.8977652,403.8725574,403.0585746,NA,401.8991744,401.4917705,401.1683045,400.9114827,1
29.72159483,NA,29.72030143,29.71935498,29.71812814,29.71653783,29.71447637,29.71180419,29.70834033,NA,29.69802999,29.69048538,29.68070559,29.66802843,29.65159552,NA,29.60268207,29.56688957,29.52049313,29.46035124,NA,29.28133561,29.15034062,NA,28.76042689,28.47510684,28.10525752,27.6258362,27.00438094,NA,NA,23.80099456,22.04638705,19.77195739,16.82370242,19.77195739,22.04638705,23.80099456,25.15458555,26.19881258,27.00438094,NA,NA,28.47510684,NA,28.98053688,29.15034062,29.28133561,NA,29.46035124,29.52049313,29.56688957,29.60268207,29.63029418,29.65159552,29.66802843,29.68070559,NA,29.69802999,29.70385028,NA,29.71180419,NA,29.71653783,29.71812814,NA,29.72030143,29.72103157,NA,29.72202936,29.72236458,29.72262318,29.72282268,29.72297658,29.72309531,29.72318691,NA,29.72331208,29.72335413,29.72338657,29.7234116,29.7234309,NA,29.72345729,NA,NA,NA,29.72348233,29.72348547,NA,29.72348976,NA,29.72349232,29.72349318,29.72349384,29.72349435,29.72349474,29.72349505,29.72349528,29.72349546,0
1.098212403,1.098212385,1.098212363,1.098212336,1.098212303,NA,NA,1.098212154,1.09821208,NA,1.098211879,1.098211744,1.098211578,1.098211375,1.098211127,1.098210823,NA,1.098209994,1.098209435,NA,1.098207913,1.098206887,1.09820563,NA,NA,1.098199901,NA,NA,1.09818938,NA,NA,1.098170061,1.098160536,NA,1.098134588,1.098117097,1.098095679,1.098069451,1.098037334,1.097998006,NA,1.097890872,1.097818656,1.097730225,NA,1.097489331,1.097326951,1.097128109,1.096884618,1.096586451,1.096221334,1.09577423,1.095226731,NA,1.093735314,NA,1.091498915,NA,1.08814541,NA,NA,NA,NA,NA,1.064269278,1.056647483,1.047314248,1.035885277,NA,1.004752105,0.983765994,0.958067546,0.926598627,NA,0.840875486,0.783091612,0.712332628,0.783091612,0.840875486,0.888063501,NA,0.958067546,0.983765994,1.004752105,NA,1.035885277,NA,NA,1.064269278,NA,NA,1.079727118,1.083116788,1.085884893,1.08814541,NA,1.091498915,1.092729985,1.093735314,1.094556294,0
