"tls","tms","trs","mls","mms","mrs","bls","bms","brs","class"
"b","o",NA,"o","b","x","x","o",NA,"positive"
"x","o",NA,"o","x","o","b","b","x","positive"
"x","o",NA,"x","x","o","x","o","x","positive"
"o","b",NA,"b","x","o","x","x","x","positive"
"b","o",NA,"x","o","x","o","x",NA,"negative"
"x","x",NA,"b","x","o","x","o","o","negative"
"o","b","x","b","x","x","o","o","x","positive"
"x","b","b","o","x","b","b","o",NA,"positive"
"b","o","x","b","o","x","o","x","x","positive"
"x","o","b","x","b","b","x","b",NA,"positive"
"x","o","o","x","b","o","x","b",NA,"positive"
"x","x",NA,"b","b","o","b","x","o","negative"
"b","o","x","o","x","o","x","b",NA,"positive"
"x","b","x","o","x","o","b","o",NA,"positive"
"b","o",NA,"b","o","x","x","o",NA,"negative"
"o","o","x","x","o","o","x","x","x","positive"
"o","b",NA,"x","x","o","x","x","o","negative"
"x","o","o","o","x","b","x","b","x","positive"
"x","o",NA,"b","o","b","b","o","x","negative"
"x","x","x","o","x","b","b","o",NA,"positive"
"o","o","x","b","o","x","x","x",NA,"negative"
"o","x","o","o","b","x","o","x",NA,"negative"
"b","x","x","o","o","o","b","x","b","negative"
"x","o",NA,"o","x","x","o","x","x","positive"
"o","b","o","x","x","x","b","b",NA,"positive"
"b","b","b","o","o","b","x","x","x","positive"
"o","o","b","o","x","b","x","x","x","positive"
"o","x",NA,"b","x","o","b","x",NA,"positive"
"o","x",NA,"x","x","o","x","o",NA,"negative"
"b","x",NA,"o","x","o","o","x","x","positive"
"o","x","b","o","x","o","x","x","b","positive"
"x","x","o","b","o","x","o","o","x","negative"
"x","o","b","x","b","o","x","x","o","positive"
"b","o","b","x","o","o","x","x",NA,"positive"
"b","x","o","o","x","b","b","x","b","positive"
"o","o",NA,"o","x","x","o","x",NA,"negative"
"o","b","x","o","o","x","b","x",NA,"positive"
"b","b","o","x","o","x","o","b","x","negative"
"o","b","o","x","o","x","o","x","x","negative"
"x","o","x","x","x","b","o","o","o","negative"
"x","b","b","b","x","b","o","o",NA,"positive"
"x","x",NA,"o","x","o","x","b","o","negative"
"x","b",NA,"x","o","x","o","o","o","negative"
"x","b",NA,"x","b","b","x","o",NA,"positive"
"x","x","o","x","o","o","o","b",NA,"negative"
"o","x","x","o","o","x","x","o",NA,"positive"
"x","x","x","x","b","o","b","o",NA,"positive"
"o","b",NA,"x","x","b","x","o","o","positive"
"x","o","o","x","o","x","x","b",NA,"positive"
"o","x","o","b","x","b","o","x","x","positive"
"x","o",NA,"b","o","x","o","b",NA,"positive"
"b","x","o","b","o","x","o","x",NA,"negative"
"o","o",NA,"b","o","x","x","x","x","positive"
"x","x",NA,"o","b","x","o","b",NA,"positive"
"b","o","x","x","x","b","x","o","o","positive"
